sesion,fecha_inicio,tiempo_seg,tiempo_mmss,emocion_grupal,estudiantes_detectados,n_enojado,n_miedo,n_feliz,n_neutral,n_triste,n_sorpresa
Prueba3,2026-05-19 20:29:54,0.71,00:00,Enojado,1,1,0,0,0,0,0
Prueba3,2026-05-19 20:29:54,1.06,00:01,Miedo,1,0,1,0,0,0,0
Prueba3,2026-05-19 20:29:54,1.39,00:01,Miedo,1,0,1,0,0,0,0
Prueba3,2026-05-19 20:29:54,1.73,00:01,Miedo,1,0,1,0,0,0,0
Prueba3,2026-05-19 20:29:54,2.06,00:02,Miedo,1,0,1,0,0,0,0
Prueba3,2026-05-19 20:29:54,2.39,00:02,Miedo,1,0,1,0,0,0,0
Prueba3,2026-05-19 20:29:54,2.72,00:02,Miedo,1,0,1,0,0,0,0
Prueba3,2026-05-19 20:29:54,3.05,00:03,Miedo,1,0,1,0,0,0,0
Prueba3,2026-05-19 20:29:54,3.38,00:03,Miedo,1,0,1,0,0,0,0
Prueba3,2026-05-19 20:29:54,3.75,00:03,Miedo,1,0,1,0,0,0,0
Prueba3,2026-05-19 20:29:54,4.08,00:04,Miedo,1,0,1,0,0,0,0
Prueba3,2026-05-19 20:29:54,4.41,00:04,Miedo,1,0,1,0,0,0,0
Prueba3,2026-05-19 20:29:54,4.83,00:04,Miedo,1,0,1,0,0,0,0
Prueba3,2026-05-19 20:29:54,5.17,00:05,Miedo,1,0,1,0,0,0,0
Prueba3,2026-05-19 20:29:54,5.51,00:05,Miedo,1,0,1,0,0,0,0
Prueba3,2026-05-19 20:29:54,5.88,00:05,Miedo,1,0,1,0,0,0,0
Prueba3,2026-05-19 20:29:54,6.33,00:06,Miedo,1,0,1,0,0,0,0
Prueba3,2026-05-19 20:29:54,6.75,00:06,Miedo,1,0,1,0,0,0,0
Prueba3,2026-05-19 20:29:54,7.11,00:07,Miedo,1,0,1,0,0,0,0
Prueba3,2026-05-19 20:29:54,7.47,00:07,Miedo,1,0,1,0,0,0,0
Prueba3,2026-05-19 20:29:54,7.98,00:07,Neutral,6,0,0,1,3,2,0
Prueba3,2026-05-19 20:29:54,8.61,00:08,Neutral,10,0,1,1,4,2,2
Prueba3,2026-05-19 20:29:54,9.16,00:09,Triste,9,0,1,0,2,5,1
Prueba3,2026-05-19 20:29:54,9.7,00:09,Triste,9,0,1,0,2,5,1
Prueba3,2026-05-19 20:29:54,10.27,00:10,Triste,9,0,1,0,2,5,1
Prueba3,2026-05-19 20:29:54,10.82,00:10,Triste,9,0,1,0,2,5,1
Prueba3,2026-05-19 20:29:54,11.36,00:11,Triste,9,0,1,0,2,5,1
Prueba3,2026-05-19 20:29:54,11.9,00:11,Triste,9,0,1,0,2,5,1
Prueba3,2026-05-19 20:29:54,12.45,00:12,Triste,9,0,1,0,2,5,1
Prueba3,2026-05-19 20:29:54,12.98,00:12,Triste,9,0,1,0,2,5,1
Prueba3,2026-05-19 20:29:54,13.56,00:13,Triste,9,0,1,0,2,5,1
Prueba3,2026-05-19 20:29:54,14.11,00:14,Triste,9,1,1,0,2,4,1
Prueba3,2026-05-19 20:29:54,14.67,00:14,Neutral,9,1,1,0,5,1,1
Prueba3,2026-05-19 20:29:54,15.21,00:15,Neutral,9,0,1,0,4,3,1
Prueba3,2026-05-19 20:29:54,15.83,00:15,Neutral,10,2,1,0,4,2,1
Prueba3,2026-05-19 20:29:54,16.5,00:16,Triste,11,1,2,0,3,4,1
Prueba3,2026-05-19 20:29:54,17.12,00:17,Triste,11,1,2,1,3,3,1
Prueba3,2026-05-19 20:29:54,17.72,00:17,Triste,10,1,2,0,3,3,1
Prueba3,2026-05-19 20:29:54,18.31,00:18,Neutral,10,2,1,0,5,1,1
Prueba3,2026-05-19 20:29:54,18.95,00:18,Neutral,11,1,2,1,5,2,0
Prueba3,2026-05-19 20:29:54,19.56,00:19,Neutral,10,1,1,1,5,2,0
Prueba3,2026-05-19 20:29:54,20.15,00:20,Neutral,10,2,1,1,4,2,0
Prueba3,2026-05-19 20:29:54,20.77,00:20,Triste,10,1,2,1,2,4,0
Prueba3,2026-05-19 20:29:54,21.34,00:21,Neutral,9,2,1,0,4,2,0
Prueba3,2026-05-19 20:29:54,22.01,00:22,Neutral,10,0,2,2,4,2,0
Prueba3,2026-05-19 20:29:54,22.87,00:22,Neutral,10,0,2,1,4,3,0
Prueba3,2026-05-19 20:29:54,23.51,00:23,Triste,9,0,2,0,3,4,0
Prueba3,2026-05-19 20:29:54,24.07,00:24,Neutral,9,1,1,0,4,3,0
Prueba3,2026-05-19 20:29:54,24.64,00:24,Neutral,10,0,2,0,5,3,0
Prueba3,2026-05-19 20:29:54,25.25,00:25,Neutral,11,0,3,1,4,3,0
Prueba3,2026-05-19 20:29:54,25.86,00:25,Neutral,11,1,3,1,4,2,0
Prueba3,2026-05-19 20:29:54,26.49,00:26,Neutral,12,1,2,1,4,2,2
Prueba3,2026-05-19 20:29:54,27.11,00:27,Triste,12,1,2,1,3,4,1
Prueba3,2026-05-19 20:29:54,27.7,00:27,Neutral,11,1,4,0,5,1,0
Prueba3,2026-05-19 20:29:54,28.3,00:28,Miedo,11,1,5,0,3,2,0
Prueba3,2026-05-19 20:29:54,29.07,00:29,Neutral,12,3,3,0,5,1,0
Prueba3,2026-05-19 20:29:54,29.7,00:29,Neutral,13,2,2,1,4,3,1
Prueba3,2026-05-19 20:29:54,30.29,00:30,Neutral,11,1,1,0,5,3,1
Prueba3,2026-05-19 20:29:54,30.9,00:30,Neutral,12,1,3,0,5,2,1
Prueba3,2026-05-19 20:29:54,31.51,00:31,Miedo,12,1,4,0,4,3,0
Prueba3,2026-05-19 20:29:54,32.14,00:32,Neutral,13,1,2,1,5,3,1
Prueba3,2026-05-19 20:29:54,32.76,00:32,Neutral,13,0,4,1,5,3,0
Prueba3,2026-05-19 20:29:54,33.36,00:33,Neutral,12,1,4,1,5,1,0
Prueba3,2026-05-19 20:29:54,33.97,00:33,Neutral,12,0,2,2,4,3,1
Prueba3,2026-05-19 20:29:54,34.62,00:34,Miedo,14,0,5,1,4,3,1
Prueba3,2026-05-19 20:29:54,35.23,00:35,Neutral,12,3,3,0,4,1,1
Prueba3,2026-05-19 20:29:54,35.84,00:35,Neutral,12,1,3,1,5,2,0
Prueba3,2026-05-19 20:29:54,36.43,00:36,Neutral,11,1,3,1,4,1,1
Prueba3,2026-05-19 20:29:54,37.06,00:37,Neutral,12,1,2,1,5,1,2
Prueba3,2026-05-19 20:29:54,37.66,00:37,Neutral,11,1,3,1,4,2,0
Prueba3,2026-05-19 20:29:54,38.29,00:38,Triste,12,0,2,2,3,3,2
Prueba3,2026-05-19 20:29:54,39.25,00:39,Miedo,12,1,4,1,3,3,0
Prueba3,2026-05-19 20:29:54,39.84,00:39,Feliz,2,0,0,1,1,0,0
Prueba3,2026-05-19 20:29:54,40.3,00:40,Miedo,1,0,1,0,0,0,0
Prueba3,2026-05-19 20:29:54,40.75,00:40,Miedo,1,0,1,0,0,0,0
Prueba3,2026-05-19 20:29:54,41.14,00:41,Miedo,1,0,1,0,0,0,0
Prueba3,2026-05-19 20:29:54,41.49,00:41,Miedo,1,0,1,0,0,0,0
Prueba3,2026-05-19 20:29:54,41.87,00:41,Miedo,1,0,1,0,0,0,0
Prueba3,2026-05-19 20:29:54,42.21,00:42,Miedo,1,0,1,0,0,0,0
Prueba3,2026-05-19 20:29:54,42.67,00:42,Neutral,4,1,0,1,2,0,0
Prueba3,2026-05-19 20:29:54,43.37,00:43,Neutral,13,0,4,1,5,3,0
Prueba3,2026-05-19 20:29:54,43.98,00:43,Neutral,11,1,2,1,4,2,1
