sesion,fecha_inicio,tiempo_seg,tiempo_mmss,emocion_grupal,estudiantes_detectados,n_enojado,n_miedo,n_feliz,n_neutral,n_triste,n_sorpresa
prueba 1,2026-05-19 13:17:41,0.36,00:00,Feliz,1,0,0,1,0,0,0
prueba 1,2026-05-19 13:17:41,2.07,00:02,Neutral,10,0,1,2,4,3,0
prueba 1,2026-05-19 13:17:41,2.64,00:02,Neutral,11,0,3,1,5,2,0
prueba 1,2026-05-19 13:17:41,3.22,00:03,Neutral,11,0,3,1,5,2,0
prueba 1,2026-05-19 13:17:41,3.81,00:03,Neutral,11,0,3,1,5,2,0
prueba 1,2026-05-19 13:17:41,4.4,00:04,Neutral,11,0,3,1,5,2,0
prueba 1,2026-05-19 13:17:41,4.98,00:04,Miedo,11,0,4,0,4,2,1
prueba 1,2026-05-19 13:17:41,5.57,00:05,Miedo,11,0,4,1,4,2,0
prueba 1,2026-05-19 13:17:41,6.16,00:06,Neutral,12,0,4,2,5,1,0
prueba 1,2026-05-19 13:17:41,6.74,00:06,Neutral,12,0,3,2,4,2,1
prueba 1,2026-05-19 13:17:41,7.32,00:07,Neutral,11,0,4,1,5,0,1
prueba 1,2026-05-19 13:17:41,7.89,00:07,Miedo,11,0,4,0,4,2,1
prueba 1,2026-05-19 13:17:41,8.43,00:08,Neutral,10,0,2,0,5,2,1
prueba 1,2026-05-19 13:17:41,9.04,00:09,Miedo,13,0,5,1,4,2,1
prueba 1,2026-05-19 13:17:41,9.62,00:09,Neutral,12,1,3,2,6,0,0
prueba 1,2026-05-19 13:17:41,10.29,00:10,Neutral,16,1,5,3,7,0,0
prueba 1,2026-05-19 13:17:41,10.92,00:10,Neutral,14,0,4,4,5,1,0
prueba 1,2026-05-19 13:17:41,11.64,00:11,Neutral,13,0,5,2,6,0,0
prueba 1,2026-05-19 13:17:41,12.24,00:12,Neutral,12,0,4,2,5,1,0
prueba 1,2026-05-19 13:17:41,12.84,00:12,Neutral,12,1,4,1,6,0,0
prueba 1,2026-05-19 13:17:41,13.39,00:13,Neutral,9,1,3,0,4,1,0
prueba 1,2026-05-19 13:17:41,14.11,00:14,Neutral,1,0,0,0,1,0,0
